Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank
PredPol,https://www.crunchbase.com/organization/predpol,"Data and Analytics, Software, Government and Military, Privacy and Security","Santa Cruz, California, United States",PredPol predicts crime using cloud software technology that identifies the highest risk times and places in near real-time.,"7,287"
Zeplin,https://www.crunchbase.com/organization/zeplin,"Software, Design","Besiktas, Istanbul, Turkey",Collaboration app for designers & developers.,"7,283"
Revelator,https://www.crunchbase.com/organization/revelator,"Media and Entertainment, Music and Audio, Data and Analytics, Software","Jerusalem, Yerushalayim, Israel",Data management services for the music industry,"7,281"
Nymbus,https://www.crunchbase.com/organization/nymbus,"Software, Financial Services, Lending and Investments","Miami Beach, Florida, United States","Cloud based solution for core banking. Features include integrations, pre-loaded reports, and document management.","7,231"
Predictix,https://www.crunchbase.com/organization/predictix,"Commerce and Shopping, Data and Analytics, Software","Atlanta, Georgia, United States","Retailers, wholesalers and brands make better forecasting, planning, assortment, pricing, and replenishment decisions with the Predictix","7,225"
CloudOne,https://www.crunchbase.com/organization/cloudone,"Software, Internet Services","Indianapolis, Indiana, United States","CloudOne provides cloud applications for enterprises, converting their IBM software into customized, on-demand SaaS Services.","7,150"
Farmeron,https://www.crunchbase.com/organization/farmeron,"Agriculture and Farming, Food and Beverage, Data and Analytics, Software","Columbus, Ohio, United States",A cloud-based dairy herd & farm business management software - allowing producers across the world to become the very best.,"7,143"
Benevity,https://www.crunchbase.com/organization/benevity,"Information Technology, Software","Calgary, Alberta, Canada",Benevity is a software company whose platform and products enable companies to build social responsibility.,"7,141"
Kisi,https://www.crunchbase.com/organization/kisi,"Real Estate, Software, Internet Services, Privacy and Security, Mobile","Brooklyn, New York, United States",Kisi is the world's simplest smartphone access technology.,"7,136"
TOA Technologies,https://www.crunchbase.com/organization/toa-technologies,"Hardware, Software","Beachwood, Ohio, United States",TOA Technologies provides field service management software for businesses that operate in the field.,"7,120"
Xpenditure,https://www.crunchbase.com/organization/xpenditure,"Software, Financial Services","Mechelen, Antwerpen, Belgium",Xpenditure redefines expense management with easy and efficient flows while elimination the expense note as known today,"7,112"
Desk.com,https://www.crunchbase.com/organization/assistly,"Information Technology, Software, Sales and Marketing","San Francisco, California, United States",Desk.com is an online customer service software and support ticket help desk application for small business and fast-growing companies.,"7,109"
EcoFactor,https://www.crunchbase.com/organization/ecofactor,"Energy, Data and Analytics, Software","Redwood City, California, United States",EcoFactor is a cloud-based home energy management platform providing energy-saving services to utilities and home service providers,"7,097"
mFoundry,https://www.crunchbase.com/organization/mfoundry,"Software, Payments, Financial Services, Lending and Investments, Mobile","Larkspur, California, United States",mFoundry provides SaaS-based mobile banking solutions for financial institutions and retailers in the U.S.,"6,985"
Sonian,https://www.crunchbase.com/organization/sonian,"Commerce and Shopping, Information Technology, Software, Internet Services, Messaging and Telecommunications","Waltham, Massachusetts, United States",Sonian Archive is a hosted information archive program created with cloud computing infrastructure technologies.,"6,966"
Medfusion,https://www.crunchbase.com/organization/medfusion,"Software, Health Care, Payments","Cary, North Carolina, United States",Patient portal solutions provider,"6,964"
Consensus,https://www.crunchbase.com/organization/demochimp,Software,"American Fork, Utah, United States",Navigating through the jungle of sales and marketing one effective automated product demo at a time.,"6,938"
Healthcare Anywhere,https://www.crunchbase.com/organization/healthcare-anywhere,"Apps, Information Technology, Software, Health Care, Mobile","Indianapolis, Indiana, United States","Healthcare Anywhere is a set of unified tools for web and mobile visits to schedule, manage appointments and see patients with online video.","6,921"
OnShift,https://www.crunchbase.com/organization/onshift,"Software, Health Care","Cleveland, Ohio, United States",OnShift delivers cloud-based human capital management software and proactive services to solve everyday workforce challenges in healthcare.,"6,891"
LANDR,https://www.crunchbase.com/organization/mixgenius,"Media and Entertainment, Music and Audio, Data and Analytics, Software","Montréal, Quebec, Canada",LANDR is an audio post-production cloud service that performs the work of sound engineers.,"6,886"
Pipefy,https://www.crunchbase.com/organization/pipefy,Software,"San Francisco, California, United States",Pipefy organize and run all your processes in one place.,"6,882"
Betaout,https://www.crunchbase.com/organization/betaout,"Software, Sales and Marketing","New York, New York, United States",Betaout develops cloud-based platforms and tools that enable digital agencies to manage content production.,"6,855"
Next Gear Solutions,https://www.crunchbase.com/organization/next-gear-solutions,"Apps, Information Technology, Software, Mobile","Oxford, Mississippi, United States",Next Gear Solutions is a provider of management software for restoration contractors.,"6,847"
VATBox,https://www.crunchbase.com/organization/vatbox,"Software, Financial Services","Tel Aviv-yafo, Tel Aviv, Israel",The first solution for Automated VAT Returns and Governance,"6,839"
Anaqua,https://www.crunchbase.com/organization/anaqua,"Hardware, Consumer Electronics, Software","Boston, Massachusetts, United States",Anaqua provides intellectual asset management software solutions and services to corporations and law firms of all sizes.,"6,830"
Sikka Software,https://www.crunchbase.com/organization/sikka-software,"Software, Health Care, Internet Services","San Jose, California, United States","Sikka Software Corporation is revolutionizing the retail healthcare industry via its platform cloud, analytical tools, apps and big data.","6,798"
MURAL,https://www.crunchbase.com/organization/mural-ly,"Media and Entertainment, Information Technology, Data and Analytics, Software, Design","San Francisco, California, United States",Mural.ly is a platform allowing its users to aggregate web content and display them in a bulletin board-like customizable space.,"6,796"
riskmethods,https://www.crunchbase.com/organization/riskmethods,Software,"Munich, Bayern, Germany",The riskmethods mission is to provide full transparency about risk exposures in 1-n-tier supply chains.,"6,787"
Augur,https://www.crunchbase.com/organization/augur,"Science and Engineering, Data and Analytics, Software, Sales and Marketing, Advertising","Denver, Colorado, United States",Augur provides ad-tech agencies with cross-device and cross-channel attribution analytics.,"6,786"
Smarp,https://www.crunchbase.com/organization/smarp-oy,"Apps, Media and Entertainment, Information Technology, Software, Internet Services","Helsinki, Southern Finland, Finland",Smarp a leading employee advocacy SaaS provider. Smarp turns employees into brand ambassadors and influencers,"6,745"
zlien,https://www.crunchbase.com/organization/zlien,"Real Estate, Software, Privacy and Security, Financial Services","New Orleans, Louisiana, United States","zlien is a cloud-based platform that makes lien rights easy, empowering a fair construction ecosystem that everyone can trust.","6,743"
Enertiv,https://www.crunchbase.com/organization/enertiv,"Energy, Sustainability, Data and Analytics, Software, Internet Services","New York, New York, United States","Enertiv is a leading energy data and analytics company specializing in the collection, visualization and analysis of real-time energy data.","6,731"
7Park Data,https://www.crunchbase.com/organization/7park-data,"Data and Analytics, Software, Financial Services, Mobile","New York, New York, United States",7Park Data is an analytics company delivering real-time Intelligence to decision-makers across the Enterprise.,"6,719"
Beamery,https://www.crunchbase.com/organization/beamery,"Software, Sales and Marketing, Professional Services","London, England, United Kingdom",Recruitment CRM & Marketing Software,"6,716"
Azuqua,https://www.crunchbase.com/organization/azuqua,"Information Technology, Software, Sales and Marketing, Internet Services","Seattle, Washington, United States","Azuqua enables you to create business processes spanning multiple cloud services in minutes, no code required.","6,710"
goTransverse,https://www.crunchbase.com/organization/tract-by-transverse,"Software, Payments, Internet Services, Financial Services","Austin, Texas, United States","TRACT® by goTransverse is an cloud-based, Internet-scale Agile Monetization Platform (AMP), a.k.a. subscription billing platform","6,687"
"Celigo, Inc",https://www.crunchbase.com/organization/celigo,"Information Technology, Data and Analytics, Software, Internet Services","San Mateo, California, United States",Connects cloud-based apps through prebuilt connectors and a rich do-it-yourself integration platform,"6,684"
Bedrock Data,https://www.crunchbase.com/organization/bedrock-data,"Information Technology, Data and Analytics, Software, Internet Services","Boston, Massachusetts, United States","Bedrock Data provides the leading product to connect, clean and continuously synchronize multiple cloud systems in real-time.","6,622"
Pixalate,https://www.crunchbase.com/organization/pixalate,"Data and Analytics, Software, Sales and Marketing, Payments, Privacy and Security, Financial Services, Advertising","Santa Monica, California, United States","Pixalate, Inc. is a leading global intelligence platform and real time fraud protection provider.","6,617"
goBalto,https://www.crunchbase.com/organization/gobalto,"Biotechnology, Science and Engineering, Software, Health Care","San Francisco, California, United States",goBalto is a software platform that develops cloud-based solutions for drug trial sponsors and clinical research organizations.,"6,587"
LogicGate,https://www.crunchbase.com/organization/logicgate,Software,"Chicago, Illinois, United States",We build technology that allows businesses to automate and track disorganized processes in risk and compliance.,"6,560"
Accelo,https://www.crunchbase.com/organization/affinitylive,Software,"San Francisco, California, United States",Automates how professional services run in the cloud,"6,553"
Rollbar,https://www.crunchbase.com/organization/rollbar,"Data and Analytics, Software, Internet Services","San Francisco, California, United States",Rollbar provides real-time error tracking services for developers to detect errors in web applications.,"6,536"
Cyara,https://www.crunchbase.com/organization/cyara,Software,"Redwood City, California, United States",Accelerate delivery of flawless customer experiences for voice and digital channels at scale,"6,522"
Xola,https://www.crunchbase.com/organization/xola,Software,"San Francisco, California, United States",Booking & Distribution for Experiences,"6,495"
Diligent,https://www.crunchbase.com/organization/diligent-board-member-services,"Platforms, Hardware, Information Technology, Software, Privacy and Security, Mobile","New York, New York, United States",1/3 of US public companies use Diligent's secure executive collaboration software to run board and executive team meetings.,"6,487"
ShipHawk,https://www.crunchbase.com/organization/shiphawk,"Software, Transportation","Santa Barbara, California, United States",ShipHawk is a comprehensive platform that automates shipping from cart-to-customer for eCommerce retailers.,"6,480"
cobalt.io,https://www.crunchbase.com/organization/cobalt-io,"Apps, Software, Privacy and Security","San Francisco, California, United States",Cobalt is the new way of doing application security. Cobalt leverages a global intelligent community of security researchers.,"6,466"
WorkWave,https://www.crunchbase.com/organization/marathon-data-systems,"Software, Mobile","Neptune, New Jersey, United States","A leader in SaaS solutions for field service & last mile delivery. Products include PestPac, WorkWave Service, and WorkWave Route Manager.","6,443"
Xeneta,https://www.crunchbase.com/organization/xeneta,"Data and Analytics, Software, Transportation","Oslo, Oslo, Norway",Xeneta provides global sea freight market information and actionable data on shipping rates and actual transit times.,"6,429"
Growbots,https://www.crunchbase.com/organization/growbots,"Information Technology, Software, Sales and Marketing","San Francisco, California, United States",Outbound Sales. 5 minutes a day. In one place!,"6,422"
Montage,https://www.crunchbase.com/organization/montage-talent,"Media and Entertainment, Software, Video","Delafield, Wisconsin, United States",Montage provides a SaaS video interviewing and voice interviewing solution purpose-built for enterprise level hiring and talent acquisition.,"6,395"
Acompli,https://www.crunchbase.com/organization/acompli-inc,"Platforms, Information Technology, Software, Internet Services, Privacy and Security, Messaging and Telecommunications, Mobile","San Francisco, California, United States",Mobile Email App for Professionals,"6,371"
Two Hat Security,https://www.crunchbase.com/organization/community-sift,"Information Technology, Data and Analytics, Community and Lifestyle, Software, Privacy and Security","Kelowna, British Columbia, Canada",Two Hat is the world-leader in filtering of high-risk content.,"6,366"
Fusebill Subscription Billing Software - Company,https://www.crunchbase.com/organization/fusebill,"Software, Professional Services, Payments, Financial Services","Kanata, Ontario, Canada","Fusebill is a company that provides automated invoicing, billing and collections for subscription-based companies.","6,360"
CultureIQ,https://www.crunchbase.com/organization/cultureiq,"Information Technology, Data and Analytics, Software, Design","New York, New York, United States",CultureIQ is a culture management platform that combines software and strategy to help companies understand and strengthen their culture.,"6,338"
Zephyr,https://www.crunchbase.com/organization/zephyr,Software,"Newark, California, United States",Zephyr provides on-demand and real-time enterprise test management solutions that measures quality and status of software projects.,"6,283"
FlexReceipts,https://www.crunchbase.com/organization/flexreceipts,"Hardware, Commerce and Shopping, Information Technology, Data and Analytics, Software, Sales and Marketing, Internet Services","Orlando, Florida, United States",FlexReceipts is the leading enhanced digital receipts solution allowing retailers to engage with their customers to drive loyalty & sales.,"6,281"
HigherMe,https://www.crunchbase.com/organization/higherme,"Hardware, Commerce and Shopping, Software, Professional Services","Boston, Massachusetts, United States","HigherMe uses data and video to help retail and service employers find, screen, and hire better employees faster.","6,278"
Natero,https://www.crunchbase.com/organization/natero,"Data and Analytics, Software","Mountain View, California, United States","Natero harnesses your data to predict, analyze and drive customer behavior.","6,274"
Bluebridge,https://www.crunchbase.com/organization/bluebridge-digital,"Apps, Software, Mobile","Fishers, Indiana, United States",Mobile Apps as a Service (B2B SaaS) - cloud-based Mobile App Development and Management Platform,"6,259"
Parasut,https://www.crunchbase.com/organization/parasut,"Software, Professional Services, Payments, Financial Services","Istanbul, Istanbul, Turkey",Financial management software for SMEs in Turkey,"6,252"
Cloudwords,https://www.crunchbase.com/organization/cloudwords,"Media and Entertainment, Software, Sales and Marketing, Professional Services","San Francisco, California, United States",Cloudwords unleashes powerful project management capabilities to speed time to market for global campaigns and localized content.,"6,201"
Neurensic,https://www.crunchbase.com/organization/neurensic,"Software, Financial Services","Chicago, Illinois, United States",Machine learning regtech firm offering SaaS surveillance technology for detection of financial markets manipulation.,"6,200"
Glassbeam,https://www.crunchbase.com/organization/glassbeam-inc,"Data and Analytics, Software, Internet Services","Santa Clara, California, United States",Glassbeam provides a SaaS-based solution for product analytics based on machine log data.,"6,187"
Dispatch,https://www.crunchbase.com/organization/dispatch-2,Software,"Boston, Massachusetts, United States",Dispatch manages jobs from start-to-finish and strengthen your team's communication throughout the life-cycle of a job.,"6,181"
LawGeex,https://www.crunchbase.com/organization/lawgeex,"Science and Engineering, Data and Analytics, Software, Professional Services","Tel Aviv, Tel Aviv, Israel",LawGeex is an Israel-based contract review platform that helps businesses by using AI.,"6,170"
Cherwell Software,https://www.crunchbase.com/organization/cherwell-software,"Information Technology, Software","Colorado Springs, Colorado, United States",Cherwell Software offers IT service management software for small enterprises and Fortune 500 companies.,"6,157"
LeanKit,https://www.crunchbase.com/organization/leankit,Software,"Franklin, Tennessee, United States","Lean-based, enterprise process and work management software that helps enterprises visualize work, optimize processes and deliver faster.","6,136"
Shippable,https://www.crunchbase.com/organization/shippable,Software,"Seattle, Washington, United States",Shippable helps companies ship code faster by giving them a powerful continuous integration platform built natively on Docker.,"6,129"
Kairos AR,https://www.crunchbase.com/organization/kairos-ar,"Data and Analytics, Software, Mobile","Miami, Florida, United States",Kairos AR is a tech platform that provides advanced face recognition API for its users’ apps and services.,"6,125"
Chameleon,https://www.crunchbase.com/organization/chameleon-2,"Software, Internet Services","San Francisco, California, United States",Build Better User Onboarding Without Coding,"6,118"
Demandforce,https://www.crunchbase.com/organization/demandforce,"Information Technology, Software","San Francisco, California, United States","Demandforce is a SaaS-based application that assists businesses in reaching their consumers through email, SMS, and online services.","6,096"
Cloverpop,https://www.crunchbase.com/organization/cloverpop,"Data and Analytics, Software","San Francisco, California, United States",The Cloverpop enterprise platform helps businesses make better decisions 2x faster with half the meetings and 100 percent visibility.,"6,076"
AccelOps,https://www.crunchbase.com/organization/accelops,"Hardware, Information Technology, Data and Analytics, Software, Internet Services, Privacy and Security","Santa Clara, California, United States","First software platform to combine deep analytics for network performance & security management, viewable from a ""single-pane-of-glass""","6,043"
Geckoboard,https://www.crunchbase.com/organization/geckoboard,"Information Technology, Data and Analytics, Software, Design","London, England, United Kingdom",Live TV dashboard software that focuses teams to improve key metrics.,"6,030"
Botify,https://www.crunchbase.com/organization/botify,"Software, Sales and Marketing, Internet Services","Paris, Ile-de-France, France","Botify helps Traffic and SEO Managers increase organic traffic and revenue using actionable, reliable and up-to-date data.","6,019"
Flowdock,https://www.crunchbase.com/organization/flowdock,"Information Technology, Software, Internet Services, Messaging and Telecommunications","Helsinki, Southern Finland, Finland",Flowdock is a communication application that enables members of a group to chat via a shared inbox.,"5,990"
Piano,https://www.crunchbase.com/organization/piano-media,"Commerce and Shopping, Software, Payments, Financial Services","New York, New York, United States",Piano is the digital content monetization & audience intelligence platform for the world’s most sophisticated media companies,"5,988"
Boundary,https://www.crunchbase.com/organization/boundary,"Software, Internet Services","Mountain View, California, United States",Boundary is a consolidated operations management platform providing SaaS-based solutions for clients running apps and cloud infrastructures.,"5,950"
"SyncHR, Inc.",https://www.crunchbase.com/organization/synchr,"Software, Internet Services","Denver, Colorado, United States","SyncHR - the HCM cloud-based technology leader streamlining core HR, benefits, payroll & reporting in a single, enterprise-class application","5,941"
Viva Labs,https://www.crunchbase.com/organization/viva-labs,"Science and Engineering, Energy, Sustainability, Consumer Electronics, Real Estate, Data and Analytics, Software, Privacy and Security","Oslo, Oslo, Norway",Artificial Intelligence for Homes,"5,867"
Oxehealth,https://www.crunchbase.com/organization/oxehealth,"Software, Health Care","Oxford, Oxfordshire, United Kingdom",Oxehealth turns cameras into health monitors,"5,846"
Dataloop.IO,https://www.crunchbase.com/organization/dataloop-io,"Information Technology, Software","London, England, United Kingdom",DevOps Monitoring for Online Services,"5,841"
Wurk,https://www.crunchbase.com/organization/wurk,"Data and Analytics, Software, Professional Services, Mobile","Denver, Colorado, United States",Wurk provides employee management solutions for highly regulated industries solving unique industries challenges related to HR and Payroll.,"5,835"
Tenjin,https://www.crunchbase.com/organization/tenjin,"Platforms, Apps, Data and Analytics, Software, Sales and Marketing, Mobile, Advertising","San Francisco, California, United States",Tenjin brings simplicity and insight to your mobile marketing spending.,"5,805"
PersistIQ,https://www.crunchbase.com/organization/persistiq,"Information Technology, Software, Sales and Marketing","San Mateo, California, United States",PersistIQ makes your outbound sales more effective.,"5,773"
GoFormz,https://www.crunchbase.com/organization/goformz,"Software, Internet Services, Mobile","San Diego, California, United States",GoFormz is helping customers to transform into data-driven businesses with its mobile-first business productivity platform.,"5,763"
Field Nation,https://www.crunchbase.com/organization/fieldnation,"Commerce and Shopping, Software","Minneapolis, Minnesota, United States","Field Nation is an online marketplace with on-site & on-demand field service solutions, connecting businesses & contingent workers.","5,757"
KnowledgeTree,https://www.crunchbase.com/organization/knowledgetree,"Information Technology, Software, Sales and Marketing, Content and Publishing","Raleigh, North Carolina, United States","Our sales enablement & sales acceleration software predicts winning content that boosts rep productivity, advances sales, & closes deals.","5,729"
Mojo Networks,https://www.crunchbase.com/organization/mojo-networks-2,"Hardware, Software, Privacy and Security, Mobile","Mountain View, California, United States","Mojo Networks develops a unified cloud managed WiFi offering robust access, security and engagement capabilities for enterprises.","5,688"
TempoGO,https://www.crunchbase.com/organization/tempogo,"Software, Transportation, Internet Services","Panjim, Goa, India",TempoGO provides IoT and Saas solutions for the transportation industry.,"5,680"
QuanticMind,https://www.crunchbase.com/organization/insidevault,"Apps, Data and Analytics, Software, Sales and Marketing, Mobile, Advertising","Redwood City, California, United States",The Platform for Smarter Advertising,"5,675"
Qloo,https://www.crunchbase.com/organization/qloo,"Science and Engineering, Data and Analytics, Software","New York, New York, United States",Qloo is the Cultural AI,"5,661"
Beyond Pricing,https://www.crunchbase.com/organization/beyond-pricing,"Travel and Tourism, Real Estate, Data and Analytics, Software","San Francisco, California, United States",Automated data-driven pricing for your Airbnb and vacation rental is here.,"5,656"
Cheerfy,https://www.crunchbase.com/organization/cheerz,"Science and Engineering, Travel and Tourism, Hardware, Commerce and Shopping, Navigation and Mapping, Information Technology, Food and Beverage, Data and Analytics, Software, Sales and Marketing","London, England, United Kingdom",Personalising Offline Experiences,"5,638"
Sinch,https://www.crunchbase.com/organization/sinch,"Hardware, Software","San Francisco, California, United States","Use the Sinch SDKs and APIs to enhance your app with Voice, SMS, Verification, Instant Messaging, and Video.","5,617"
Whispir,https://www.crunchbase.com/organization/whispir,Software,"Melbourne, Victoria, Australia","Whispir is a cloud platform that automates communication flows, allowing businesses to create powerful conversations","5,614"
AdEspresso,https://www.crunchbase.com/organization/adespresso,"Software, Sales and Marketing, Advertising","San Francisco, California, United States","AdEspresso offers services for advertisers and media agencies to create, analyze, and optimize their Facebook advertisements.","5,520"
Arcot Systems,https://www.crunchbase.com/organization/arcot-systems,"Apps, Software, Privacy and Security, Mobile","Sunnyvale, California, United States",Arcot Systems offers authentication and digital signing solutions to protect and verify the digital identity of card holders and merchants.,"5,519"
Vindicia,https://www.crunchbase.com/organization/vindicia,"Information Technology, Data and Analytics, Software, Sales and Marketing, Payments","Redwood City, California, United States",Vindicia provides the leading consumer subscription billing platform that optimizes customer acquisition and increases retention.,"5,486"
SmartFocus,https://www.crunchbase.com/organization/smartfocus,"Information Technology, Software, Sales and Marketing, Internet Services, Messaging and Telecommunications","London, England, United Kingdom","The customer has control, but you have the power to influence - with personalization across any device in real-time from The Message Cloud.","5,469"
Ematic Solutions,https://www.crunchbase.com/organization/ematic-solutions,"Information Technology, Data and Analytics, Software, Sales and Marketing","Jakarta, Jakarta Raya, Indonesia",Helping B2C brands turn their email channel into a revenue generating machine - via self optimising AI.,"5,444"
FarEye,https://www.crunchbase.com/organization/fareye-22,"Software, Transportation, Internet Services, Mobile","New Delhi, Delhi, India",FarEye is a SaaS mobility platform solving the problems faced by logistics enterprises.,"5,432"
LiquidPlanner,https://www.crunchbase.com/organization/liquidplanner,"Software, Professional Services","Seattle, Washington, United States","LiquidPlanner is a priority-based, predictive online project management solution.","5,424"
Anchor ID,https://www.crunchbase.com/organization/anchor-id-inc,"Biotechnology, Science and Engineering, Information Technology, Data and Analytics, Software, Privacy and Security, Mobile","Kingston, New York, United States","Anchor ID, Inc. is an Identity Management company that replaces enterprise passwords with smartphones, including BYOD.","5,423"
Mixmax,https://www.crunchbase.com/organization/mixmax,"Information Technology, Software, Internet Services, Messaging and Telecommunications","San Francisco, California, United States",Mixmax is software that enables its users to boost their productivity.,"5,420"
Zylo,https://www.crunchbase.com/organization/zylo,Software,"Indianapolis, Indiana, United States","Zylo is focused on unlocking the full potential of SaaS for buyers, providers, and users alike.","5,411"
Teckst,https://www.crunchbase.com/organization/teckst,"Information Technology, Software, Sales and Marketing, Mobile","New York, New York, United States",Teckst is a B2B SaaS platform enabling businesses to utilize the world's favorite form of communicating - text messages.,"5,403"
CloudApp,https://www.crunchbase.com/organization/cloudapp,"Data and Analytics, Software, Mobile","San Francisco, California, United States",CloudApp is the fastest way to visually communicate.,"5,378"
Robin,https://www.crunchbase.com/organization/getrobin,"Real Estate, Data and Analytics, Software, Messaging and Telecommunications","Boston, Massachusetts, United States",Robin is a better way to manage meeting rooms.,"5,342"
Conversion Logic,https://www.crunchbase.com/organization/conversion-logic,"Data and Analytics, Software","Los Angeles, California, United States",Conversion Logic is an independent cross channel attribution platform that provides actionable insights in real time.,"5,340"
Mattersight,https://www.crunchbase.com/organization/mattersight-corp,"Information Technology, Data and Analytics, Software, Internet Services","Chicago, Illinois, United States",Mattersight provides SaaS-based enterprise behavioral analytics software.,"5,330"
CaliberMind,https://www.crunchbase.com/organization/calibermind,"Information Technology, Data and Analytics, Software, Sales and Marketing","Boulder, Colorado, United States",CaliberMind analyzes human language to build detailed psychographic profiles on B2B buyers and prescribe content that accelerate sales.,"5,326"
Appfolio,https://www.crunchbase.com/organization/appfolio,"Real Estate, Software, Internet Services","Goleta, California, United States","AppFolio provides web-based property management software for residential property managers to market, manage and grow their businesses.","5,325"
Simplus,https://www.crunchbase.com/organization/simplus,"Information Technology, Data and Analytics, Software","Sandy, Utah, United States",Simplus is an Integration Enablement Platform.,"5,275"
Issuu,https://www.crunchbase.com/organization/issuu,"Apps, Media and Entertainment, Software, Content and Publishing","Palo Alto, California, United States","Issuu, a digital publishing and discovery platform, connects people to content created by publishers sharing the same passion.","5,268"
Fieldlens,https://www.crunchbase.com/organization/fieldlens,"Real Estate, Software, Mobile","New York, New York, United States",Join The Building Revolution. Turn simple field updates into game-changing insights. Finish projects faster.,"5,205"
Parchment,https://www.crunchbase.com/organization/parchment,"Data and Analytics, Software, Education","Scottsdale, Arizona, United States","Parchment enables learners, educators, associations and employers to securely send and receive academic credentials online.","5,193"
Fits Me,https://www.crunchbase.com/organization/fits-me,"Hardware, Commerce and Shopping, Software, Design","London, England, United Kingdom",Fits Me develops software solutions that enable retailers and brands to understand their customers in terms of fit and preference.,"5,185"
Rocket Software,https://www.crunchbase.com/organization/rocket-software,"Software, Education","Waltham, Massachusetts, United States",Rocket Software is a software development firm that offers enterprise infrastructure products and various related services.,"5,175"
Boomi,https://www.crunchbase.com/organization/boomi,"Software, Internet Services","Berwyn, Pennsylvania, United States",Boomi provides cloud integration solutions via a SaaS-based AtomSphere platform for providers to stay connected with their consumers.,"5,162"
Talentoday,https://www.crunchbase.com/organization/talentoday,"Data and Analytics, Software, Health Care, Professional Services, Internet Services","San Francisco, California, United States","Talentoday, a People Analytics solution, provides individuals and enterprises with intelligent recommendations for career success.","5,141"
Poq,https://www.crunchbase.com/organization/poq,"Apps, Commerce and Shopping, Software, Mobile","London, England, United Kingdom","The thing that defines us, sets us apart and drives us, is our laser focus on building software that enables leading retailers to forge deep","5,086"
Midaxo,https://www.crunchbase.com/organization/midaxo,"Software, Internet Services","Helsinki, Southern Finland, Finland",Midaxo offers a cloud-based platform for companies to systematize and run their M&A and other complex management processes.,"5,062"
WorkRails,https://www.crunchbase.com/organization/workrails,Software,"New York, New York, United States","WorkRails helps software companies drive adoption and retention by selling more services, managing talent, and ensuring successful outcomes.","5,045"
Nara Logics,https://www.crunchbase.com/organization/nara-logics,"Biotechnology, Science and Engineering, Data and Analytics, Software","Cambridge, Massachusetts, United States",Neuroscience-based AI - synaptic intelligence for better decisions,"5,031"
Veeqo,https://www.crunchbase.com/organization/veeqo,"Commerce and Shopping, Software, Internet Services","Swansea, Swansea, United Kingdom","All in one platform for retailers to list their products on major marketplaces and manage their orders, inventory and shipping.","5,012"
Dude Solutions,https://www.crunchbase.com/organization/dude-solutions,"Manufacturing, Information Technology, Software, Government and Military, Health Care, Education","Cary, North Carolina, United States","Dude Solutions is the nation's leading provider of SaaS operations software for education, government, healthcare and member organizations.","4,998"
Vestmark,https://www.crunchbase.com/organization/vestmark,"Software, Financial Services, Lending and Investments","Wakefield, Massachusetts, United States","Headquartered in Wakefield, MA, Vestmark has been a leading technology platform provider delivering wealth management and investment","4,977"
"Aver, Inc",https://www.crunchbase.com/organization/aver-informatics,"Data and Analytics, Software, Health Care, Payments, Internet Services, Financial Services","Columbus, Ohio, United States",Aver Inc. is a health information technology company.,"4,948"
Akamai Technologies,https://www.crunchbase.com/organization/akamai-technologies,"Media and Entertainment, Information Technology, Software, Internet Services, Video, Privacy and Security, Content and Publishing","Cambridge, Massachusetts, United States","Akamai® is the leading provider of cloud services for helping enterprises provide secure, high-performing user experiences on any device.","4,940"
AppNeta,https://www.crunchbase.com/organization/appneta,"Information Technology, Software, Internet Services","Boston, Massachusetts, United States","AppNeta is the only app performance monitoring company with solutions for apps you develop, SaaS apps you use & networks that deliver them.","4,937"
NeoReach,https://www.crunchbase.com/organization/neoreach,"Software, Sales and Marketing, Advertising","San Francisco, California, United States",Influencer Marketing For Big Brands,"4,898"
Replicated,https://www.crunchbase.com/organization/replicated,"Hardware, Software, Internet Services","Los Angeles, California, United States","Replicated enables cloud based SaaS vendors to ship an on-prem, self-hosted version of their software.","4,855"
FeedVisor,https://www.crunchbase.com/organization/feedvisor,"Commerce and Shopping, Data and Analytics, Software, Internet Services","New York, New York, United States",Feedvisor is the world’s first algorithmic pricing and revenue intelligence platform for online retailers.,"4,838"
First Insight,https://www.crunchbase.com/organization/first-insight,"Commerce and Shopping, Data and Analytics, Software","Warrendale, Pennsylvania, United States",First Insight is a SaaS-based predictive analytics platform empowering retailers and manufacturers to identify winning new products.,"4,837"
Transactis,https://www.crunchbase.com/organization/transactis,"Software, Payments, Financial Services","New York, New York, United States","Transactis provides banks and merchants with SaaS-based billing, payment, and loyalty products.","4,832"
GamEffective,https://www.crunchbase.com/organization/gameffective,"Gaming, Software, Sales and Marketing, Education","Charlotte, North Carolina, United States",GamEffective is a next generation enterprise gamification company.,"4,828"
StayNTouch,https://www.crunchbase.com/organization/stayntouch,"Software, Internet Services, Mobile","Bethesda, Maryland, United States",StayNtouch is a enterprise mobile cloud platform improving how hotels operate & connect with their guests. Think Workday for Hotels.,"4,818"
Xactly Corp,https://www.crunchbase.com/organization/xactly-corp,"Data and Analytics, Software, Sales and Marketing","San Jose, California, United States","With Xactly, companies unleash the motivational power of their incentive compensation.","4,817"
UrbanBound,https://www.crunchbase.com/organization/urbanbound,Software,"Chicago, Illinois, United States",UrbanBound is a relocation management software for businesses moving locations.,"4,802"
